timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1704995846460,414,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,820103,117,2,2,https://www.uol.com.br/,296,UTF-8,1,0,a6c4696c05bc,0,263
1704995849712,260,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,402778,119,3,3,https://www.terra.com.br/,201,utf-8,1,0,a6c4696c05bc,0,149
1704995851880,470,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,470
1704995853043,306,1 - GET - Google,200,OK,Thread Group 1-3,text,true,,20001,120,3,3,https://www.google.com.br/,289,ISO-8859-1,1,0,a6c4696c05bc,0,158
1704995854975,200,2 - GET - UOL,200,OK,Thread Group 1-2,text,true,,820281,117,3,3,https://www.uol.com.br/,94,UTF-8,1,0,a6c4696c05bc,0,62
1704995857357,126,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5392,117,3,3,https://www.sbt.com.br/,125,ISO-8859-1,1,0,a6c4696c05bc,0,74
1704995858352,177,3 - GET - Terra,200,OK,Thread Group 1-3,text,true,,402766,119,3,3,https://www.terra.com.br/,116,utf-8,1,0,a6c4696c05bc,0,78
1704995860178,278,1 - GET - Google,200,OK,Thread Group 1-2,text,true,,19998,120,3,3,https://www.google.com.br/,264,ISO-8859-1,1,0,a6c4696c05bc,0,126
1704995862485,269,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,19955,120,3,3,https://www.google.com.br/,254,ISO-8859-1,1,0,a6c4696c05bc,0,113
1704995863531,330,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,330
1704995865458,320,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,320
1704995867755,159,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,402778,119,3,3,https://www.terra.com.br/,102,utf-8,1,0,a6c4696c05bc,0,60
1704995868863,114,5 - GET - sbt,200,OK,Thread Group 1-3,text,true,,5387,117,3,3,https://www.sbt.com.br/,114,ISO-8859-1,1,0,a6c4696c05bc,0,70
1704995870780,98,5 - GET - sbt,200,OK,Thread Group 1-2,text,true,,5387,117,3,3,https://www.sbt.com.br/,98,ISO-8859-1,1,0,a6c4696c05bc,0,57
1704995872917,1311,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,991746,115,3,3,https://g1.globo.com/,1145,UTF-8,1,0,a6c4696c05bc,0,1118
1704995873982,248,4 - GET - g1,200,OK,Thread Group 1-3,text,true,,991789,115,3,3,https://g1.globo.com/,80,UTF-8,1,0,a6c4696c05bc,0,59
1704995875880,223,4 - GET - g1,200,OK,Thread Group 1-2,text,true,,991750,115,3,3,https://g1.globo.com/,93,UTF-8,1,0,a6c4696c05bc,0,64
1704995879229,61,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,402870,119,3,3,https://www.terra.com.br/,36,utf-8,1,0,a6c4696c05bc,0,0
1704995879231,783,2 - GET - UOL,200,OK,Thread Group 1-3,text,true,,820268,117,3,3,https://www.uol.com.br/,686,UTF-8,1,0,a6c4696c05bc,0,96
1704995881104,39,5 - GET - sbt,200,OK,Thread Group 1-2,text,true,,5393,117,3,3,https://www.sbt.com.br/,39,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995884292,150,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,20032,120,3,3,https://www.google.com.br/,149,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995885017,67,2 - GET - UOL,200,OK,Thread Group 1-3,text,true,,819739,117,3,3,https://www.uol.com.br/,27,UTF-8,1,0,a6c4696c05bc,0,0
1704995886144,82,4 - GET - g1,200,OK,Thread Group 1-2,text,true,,991793,115,3,3,https://g1.globo.com/,24,UTF-8,1,0,a6c4696c05bc,0,0
1704995889443,68,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,819739,117,3,3,https://www.uol.com.br/,25,UTF-8,1,0,a6c4696c05bc,0,0
1704995890085,352,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,352
1704995891227,70,2 - GET - UOL,200,OK,Thread Group 1-2,text,true,,819739,117,3,3,https://www.uol.com.br/,24,UTF-8,1,0,a6c4696c05bc,0,0
1704995894512,327,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,327
1704995895439,126,1 - GET - Google,200,OK,Thread Group 1-3,text,true,,19942,120,3,3,https://www.google.com.br/,122,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995896298,72,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,402870,119,3,3,https://www.terra.com.br/,43,utf-8,1,0,a6c4696c05bc,0,0
1704995899840,96,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,991790,115,3,3,https://g1.globo.com/,25,UTF-8,1,0,a6c4696c05bc,0,0
1704995900566,43,5 - GET - sbt,200,OK,Thread Group 1-3,text,true,,5387,117,3,3,https://www.sbt.com.br/,43,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995901371,324,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,323
1704995904938,44,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5387,117,3,3,https://www.sbt.com.br/,44,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995905610,91,4 - GET - g1,200,OK,Thread Group 1-3,text,true,,991764,115,3,3,https://g1.globo.com/,23,UTF-8,1,0,a6c4696c05bc,0,0
1704995906696,435,1 - GET - Google,200,OK,Thread Group 1-2,text,true,,19983,120,3,3,https://www.google.com.br/,433,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995909983,47,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5387,117,3,3,https://www.sbt.com.br/,47,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995910702,56,3 - GET - Terra,200,OK,Thread Group 1-3,text,true,,402870,119,3,3,https://www.terra.com.br/,32,utf-8,1,0,a6c4696c05bc,0,0
1704995912132,333,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,333
1704995915033,339,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,339
1704995915759,53,3 - GET - Terra,200,OK,Thread Group 1-3,text,true,,402870,119,3,3,https://www.terra.com.br/,36,utf-8,1,0,a6c4696c05bc,0,0
1704995917467,133,1 - GET - Google,200,OK,Thread Group 1-2,text,true,,19982,120,3,3,https://www.google.com.br/,131,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995920374,87,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,991764,115,3,3,https://g1.globo.com/,26,UTF-8,1,0,a6c4696c05bc,0,0
1704995920813,581,1 - GET - Google,200,OK,Thread Group 1-3,text,true,,19963,120,3,3,https://www.google.com.br/,564,ISO-8859-1,1,0,a6c4696c05bc,0,419
1704995922600,42,5 - GET - sbt,200,OK,Thread Group 1-2,text,true,,5387,117,3,3,https://www.sbt.com.br/,42,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995925462,242,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,816665,117,3,3,https://www.uol.com.br/,135,UTF-8,1,0,a6c4696c05bc,0,106
1704995926397,92,2 - GET - UOL,200,OK,Thread Group 1-3,text,true,,816665,117,3,3,https://www.uol.com.br/,42,UTF-8,1,0,a6c4696c05bc,0,0
1704995927645,199,2 - GET - UOL,200,OK,Thread Group 1-2,text,true,,816665,117,3,3,https://www.uol.com.br/,91,UTF-8,1,0,a6c4696c05bc,0,60
1704995930705,256,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,19946,120,3,3,https://www.google.com.br/,232,ISO-8859-1,1,0,a6c4696c05bc,0,103
1704995931488,90,4 - GET - g1,200,OK,Thread Group 1-3,text,true,,991765,115,3,3,https://g1.globo.com/,23,UTF-8,1,0,a6c4696c05bc,0,0
1704995932844,77,4 - GET - g1,200,OK,Thread Group 1-2,text,true,,991769,115,3,3,https://g1.globo.com/,27,UTF-8,1,0,a6c4696c05bc,0,0
1704995935961,239,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,403206,119,3,3,https://www.terra.com.br/,182,utf-8,1,0,a6c4696c05bc,0,139
1704995936579,170,5 - GET - sbt,200,OK,Thread Group 1-3,text,true,,5387,117,3,3,https://www.sbt.com.br/,170,ISO-8859-1,1,0,a6c4696c05bc,0,125
1704995937922,197,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,403218,119,3,3,https://www.terra.com.br/,116,utf-8,1,0,a6c4696c05bc,0,66
1704995941201,143,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,19999,120,3,3,https://www.google.com.br/,139,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995941750,388,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,388
1704995943120,299,1 - GET - Google,200,OK,Thread Group 1-2,text,true,,19935,120,3,3,https://www.google.com.br/,283,ISO-8859-1,1,0,a6c4696c05bc,0,144
1704995946347,154,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5387,117,3,3,https://www.sbt.com.br/,154,ISO-8859-1,1,0,a6c4696c05bc,0,111
1704995947139,134,1 - GET - Google,200,OK,Thread Group 1-3,text,true,,19974,120,3,3,https://www.google.com.br/,129,ISO-8859-1,1,0,a6c4696c05bc,0,0
1704995948420,62,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,402338,119,3,3,https://www.terra.com.br/,34,utf-8,1,0,a6c4696c05bc,0,0
1704995951503,324,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,a6c4696c05bc,0,323
1704995952274,242,4 - GET - g1,200,OK,Thread Group 1-3,text,true,,991825,115,3,3,https://g1.globo.com/,101,UTF-8,1,0,a6c4696c05bc,0,81
1704995953483,71,2 - GET - UOL,200,OK,Thread Group 1-2,text,true,,817007,117,3,3,https://www.uol.com.br/,34,UTF-8,1,0,a6c4696c05bc,0,0
