timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1703183815578,836,HTTP Request,200,OK,Thread Group 1-1,text,true,,807470,117,2,2,https://www.uol.com.br/,587,UTF-8,1,0,8e6c09796d75,0,547
1703183815578,842,HTTP Request,200,OK,Thread Group 1-2,text,true,,807470,117,2,2,https://www.uol.com.br/,588,UTF-8,1,0,8e6c09796d75,0,547
1703183821417,269,HTTP Request,200,OK,Thread Group 1-1,text,true,,807661,117,2,2,https://www.uol.com.br/,31,UTF-8,1,0,8e6c09796d75,0,0
1703183821420,311,HTTP Request,200,OK,Thread Group 1-2,text,true,,807661,117,2,2,https://www.uol.com.br/,45,UTF-8,1,0,8e6c09796d75,0,0
1703183826691,260,HTTP Request,200,OK,Thread Group 1-1,text,true,,807661,117,2,2,https://www.uol.com.br/,30,UTF-8,1,0,8e6c09796d75,0,0
1703183826733,266,HTTP Request,200,OK,Thread Group 1-2,text,true,,807661,117,2,2,https://www.uol.com.br/,34,UTF-8,1,0,8e6c09796d75,0,0
1703183831954,283,HTTP Request,200,OK,Thread Group 1-1,text,true,,807483,117,2,2,https://www.uol.com.br/,29,UTF-8,1,0,8e6c09796d75,0,0
1703183832002,278,HTTP Request,200,OK,Thread Group 1-2,text,true,,807483,117,2,2,https://www.uol.com.br/,43,UTF-8,1,0,8e6c09796d75,0,0
1703183837238,262,HTTP Request,200,OK,Thread Group 1-1,text,true,,807483,117,2,2,https://www.uol.com.br/,29,UTF-8,1,0,8e6c09796d75,0,0
1703183837281,266,HTTP Request,200,OK,Thread Group 1-2,text,true,,807483,117,2,2,https://www.uol.com.br/,34,UTF-8,1,0,8e6c09796d75,0,0
1703183842501,327,HTTP Request,200,OK,Thread Group 1-1,text,true,,807770,117,2,2,https://www.uol.com.br/,73,UTF-8,1,0,8e6c09796d75,0,0
1703183842547,334,HTTP Request,200,OK,Thread Group 1-2,text,true,,807770,117,2,2,https://www.uol.com.br/,74,UTF-8,1,0,8e6c09796d75,0,0
1703183847830,239,HTTP Request,200,OK,Thread Group 1-1,text,true,,807770,117,2,2,https://www.uol.com.br/,32,UTF-8,1,0,8e6c09796d75,0,0
1703183847881,276,HTTP Request,200,OK,Thread Group 1-2,text,true,,807770,117,2,2,https://www.uol.com.br/,42,UTF-8,1,0,8e6c09796d75,0,0
1703183853071,267,HTTP Request,200,OK,Thread Group 1-1,text,true,,807583,117,2,2,https://www.uol.com.br/,28,UTF-8,1,0,8e6c09796d75,0,0
1703183853158,275,HTTP Request,200,OK,Thread Group 1-2,text,true,,807583,117,2,2,https://www.uol.com.br/,65,UTF-8,1,0,8e6c09796d75,0,0
1703183858341,225,HTTP Request,200,OK,Thread Group 1-1,text,true,,807583,117,2,2,https://www.uol.com.br/,35,UTF-8,1,0,8e6c09796d75,0,0
1703183858434,243,HTTP Request,200,OK,Thread Group 1-2,text,true,,807583,117,2,2,https://www.uol.com.br/,35,UTF-8,1,0,8e6c09796d75,0,0
1703183863564,238,HTTP Request,200,OK,Thread Group 1-1,text,true,,811172,117,2,2,https://www.uol.com.br/,34,UTF-8,1,0,8e6c09796d75,0,0
1703183863675,244,HTTP Request,200,OK,Thread Group 1-2,text,true,,811172,117,2,2,https://www.uol.com.br/,48,UTF-8,1,0,8e6c09796d75,0,0
1703183868803,218,HTTP Request,200,OK,Thread Group 1-1,text,true,,811172,117,2,2,https://www.uol.com.br/,33,UTF-8,1,0,8e6c09796d75,0,0
1703183868919,222,HTTP Request,200,OK,Thread Group 1-2,text,true,,811172,117,1,1,https://www.uol.com.br/,51,UTF-8,1,0,8e6c09796d75,0,0
