timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1703092088372,704,HTTP Request,200,OK,Thread Group 1-1,text,true,,798865,117,2,2,https://www.uol.com.br/,478,UTF-8,1,0,8e6c09796d75,0,427
1703092088372,779,HTTP Request,200,OK,Thread Group 1-2,text,true,,798865,117,2,2,https://www.uol.com.br/,492,UTF-8,1,0,8e6c09796d75,0,427
1703092094079,165,HTTP Request,200,OK,Thread Group 1-1,text,true,,798865,117,2,2,https://www.uol.com.br/,36,UTF-8,1,0,8e6c09796d75,0,0
1703092094152,268,HTTP Request,200,OK,Thread Group 1-2,text,true,,798865,117,2,2,https://www.uol.com.br/,87,UTF-8,1,0,8e6c09796d75,0,0
1703092099245,157,HTTP Request,200,OK,Thread Group 1-1,text,true,,798865,117,2,2,https://www.uol.com.br/,32,UTF-8,1,0,8e6c09796d75,0,0
1703092099421,222,HTTP Request,200,OK,Thread Group 1-2,text,true,,798865,117,2,2,https://www.uol.com.br/,37,UTF-8,1,0,8e6c09796d75,0,0
1703092104403,155,HTTP Request,200,OK,Thread Group 1-1,text,true,,798865,117,2,2,https://www.uol.com.br/,30,UTF-8,1,0,8e6c09796d75,0,0
1703092104644,194,HTTP Request,200,OK,Thread Group 1-2,text,true,,798865,117,2,2,https://www.uol.com.br/,30,UTF-8,1,0,8e6c09796d75,0,0
1703092109559,158,HTTP Request,200,OK,Thread Group 1-1,text,true,,798865,117,2,2,https://www.uol.com.br/,42,UTF-8,1,0,8e6c09796d75,0,0
1703092109839,206,HTTP Request,200,OK,Thread Group 1-2,text,true,,798865,117,2,2,https://www.uol.com.br/,49,UTF-8,1,0,8e6c09796d75,0,0
1703092114719,148,HTTP Request,200,OK,Thread Group 1-1,text,true,,798865,117,2,2,https://www.uol.com.br/,28,UTF-8,1,0,8e6c09796d75,0,0
1703092115050,187,HTTP Request,200,OK,Thread Group 1-2,text,true,,798865,117,2,2,https://www.uol.com.br/,32,UTF-8,1,0,8e6c09796d75,0,0
1703092119867,152,HTTP Request,200,OK,Thread Group 1-1,text,true,,798902,117,2,2,https://www.uol.com.br/,36,UTF-8,1,0,8e6c09796d75,0,0
1703092120237,189,HTTP Request,200,OK,Thread Group 1-2,text,true,,798902,117,2,2,https://www.uol.com.br/,31,UTF-8,1,0,8e6c09796d75,0,0
1703092125021,159,HTTP Request,200,OK,Thread Group 1-1,text,true,,798902,117,2,2,https://www.uol.com.br/,44,UTF-8,1,0,8e6c09796d75,0,0
1703092125427,179,HTTP Request,200,OK,Thread Group 1-2,text,true,,798902,117,2,2,https://www.uol.com.br/,30,UTF-8,1,0,8e6c09796d75,0,0
1703092130181,153,HTTP Request,200,OK,Thread Group 1-1,text,true,,799156,117,2,2,https://www.uol.com.br/,32,UTF-8,1,0,8e6c09796d75,0,0
1703092130608,199,HTTP Request,200,OK,Thread Group 1-2,text,true,,799156,117,2,2,https://www.uol.com.br/,30,UTF-8,1,0,8e6c09796d75,0,0
1703092135336,159,HTTP Request,200,OK,Thread Group 1-1,text,true,,799156,117,2,2,https://www.uol.com.br/,32,UTF-8,1,0,8e6c09796d75,0,0
1703092135809,179,HTTP Request,200,OK,Thread Group 1-2,text,true,,799156,117,2,2,https://www.uol.com.br/,29,UTF-8,1,0,8e6c09796d75,0,0
1703092140495,153,HTTP Request,200,OK,Thread Group 1-1,text,true,,800331,117,2,2,https://www.uol.com.br/,33,UTF-8,1,0,8e6c09796d75,0,0
1703092140988,172,HTTP Request,200,OK,Thread Group 1-2,text,true,,800331,117,1,1,https://www.uol.com.br/,32,UTF-8,1,0,8e6c09796d75,0,0
