timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1705336853503,641,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,342983,119,2,2,https://www.terra.com.br/,550,utf-8,1,0,191a942cf81f,0,481
1705336856693,486,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,191a942cf81f,0,486
1705336859149,278,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,825297,117,3,3,https://www.uol.com.br/,165,UTF-8,1,0,191a942cf81f,0,132
1705336860024,328,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,191a942cf81f,0,328
1705336862186,192,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,342959,119,3,3,https://www.terra.com.br/,116,utf-8,1,0,191a942cf81f,0,75
1705336864429,335,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,20035,120,3,3,https://www.google.com.br/,322,ISO-8859-1,1,0,191a942cf81f,0,155
1705336865357,266,1 - GET - Google,200,OK,Thread Group 1-3,text,true,,20023,120,3,3,https://www.google.com.br/,249,ISO-8859-1,1,0,191a942cf81f,0,122
1705336867382,141,5 - GET - sbt,200,OK,Thread Group 1-2,text,true,,5387,117,3,3,https://www.sbt.com.br/,140,ISO-8859-1,1,0,191a942cf81f,0,96
1705336870625,108,5 - GET - sbt,200,OK,Thread Group 1-3,text,true,,5387,117,3,3,https://www.sbt.com.br/,108,ISO-8859-1,1,0,191a942cf81f,0,63
1705336869767,1295,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,997787,115,3,3,https://g1.globo.com/,1138,UTF-8,1,0,191a942cf81f,0,1110
