timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1703600233839,877,HTTP Request,200,OK,Thread Group 1-2,text,true,,802129,117,2,2,https://www.uol.com.br/,615,UTF-8,1,0,44d7fdda6f49,0,568
1703600233839,877,HTTP Request,200,OK,Thread Group 1-1,text,true,,802129,117,2,2,https://www.uol.com.br/,618,UTF-8,1,0,44d7fdda6f49,0,571
1703600239721,300,HTTP Request,200,OK,Thread Group 1-2,text,true,,802129,117,2,2,https://www.uol.com.br/,29,UTF-8,1,0,44d7fdda6f49,0,0
1703600239721,322,HTTP Request,200,OK,Thread Group 1-1,text,true,,802129,117,2,2,https://www.uol.com.br/,38,UTF-8,1,0,44d7fdda6f49,0,0
1703600245022,190,HTTP Request,200,OK,Thread Group 1-2,text,true,,802729,117,2,2,https://www.uol.com.br/,29,UTF-8,1,0,44d7fdda6f49,0,0
1703600245045,253,HTTP Request,200,OK,Thread Group 1-1,text,true,,802729,117,2,2,https://www.uol.com.br/,56,UTF-8,1,0,44d7fdda6f49,0,0
1703600250213,161,HTTP Request,200,OK,Thread Group 1-2,text,true,,803062,117,2,2,https://www.uol.com.br/,28,UTF-8,1,0,44d7fdda6f49,0,0
1703600250299,241,HTTP Request,200,OK,Thread Group 1-1,text,true,,803062,117,2,2,https://www.uol.com.br/,76,UTF-8,1,0,44d7fdda6f49,0,0
1703600255381,162,HTTP Request,200,OK,Thread Group 1-2,text,true,,803070,117,2,2,https://www.uol.com.br/,26,UTF-8,1,0,44d7fdda6f49,0,0
1703600255540,199,HTTP Request,200,OK,Thread Group 1-1,text,true,,803070,117,2,2,https://www.uol.com.br/,39,UTF-8,1,0,44d7fdda6f49,0,0
1703600260544,226,HTTP Request,200,OK,Thread Group 1-2,text,true,,803078,117,2,2,https://www.uol.com.br/,31,UTF-8,1,0,44d7fdda6f49,0,0
1703600260740,191,HTTP Request,200,OK,Thread Group 1-1,text,true,,803078,117,2,2,https://www.uol.com.br/,39,UTF-8,1,0,44d7fdda6f49,0,0
1703600265772,159,HTTP Request,200,OK,Thread Group 1-2,text,true,,803086,117,2,2,https://www.uol.com.br/,34,UTF-8,1,0,44d7fdda6f49,0,0
1703600265932,187,HTTP Request,200,OK,Thread Group 1-1,text,true,,803086,117,2,2,https://www.uol.com.br/,39,UTF-8,1,0,44d7fdda6f49,0,0
1703600270932,167,HTTP Request,200,OK,Thread Group 1-2,text,true,,802121,117,2,2,https://www.uol.com.br/,39,UTF-8,1,0,44d7fdda6f49,0,0
1703600271120,161,HTTP Request,200,OK,Thread Group 1-1,text,true,,802129,117,2,2,https://www.uol.com.br/,34,UTF-8,1,0,44d7fdda6f49,0,0
1703600276099,172,HTTP Request,200,OK,Thread Group 1-2,text,true,,802129,117,2,2,https://www.uol.com.br/,33,UTF-8,1,0,44d7fdda6f49,0,0
1703600276281,201,HTTP Request,200,OK,Thread Group 1-1,text,true,,802129,117,2,2,https://www.uol.com.br/,41,UTF-8,1,0,44d7fdda6f49,0,0
1703600281271,179,HTTP Request,200,OK,Thread Group 1-2,text,true,,802129,117,2,2,https://www.uol.com.br/,30,UTF-8,1,0,44d7fdda6f49,0,0
1703600281483,171,HTTP Request,200,OK,Thread Group 1-1,text,true,,802129,117,2,2,https://www.uol.com.br/,33,UTF-8,1,0,44d7fdda6f49,0,0
1703600286452,204,HTTP Request,200,OK,Thread Group 1-2,text,true,,802129,117,2,2,https://www.uol.com.br/,38,UTF-8,1,0,44d7fdda6f49,0,0
1703600286655,171,HTTP Request,200,OK,Thread Group 1-1,text,true,,802129,117,1,1,https://www.uol.com.br/,33,UTF-8,1,0,44d7fdda6f49,0,0
